Store,email
Bloomington Cove Care Community,info@simardclinic.com
Sienna Senior Living - Silverthorn Care Community,info@sjhcg.ca
Bradford Valley Care Community,info@sjsudbury.com
Simard Foot and Ankle Clinic - Sault Ste Marie,info@sjv.on.ca
St Joseph's Health Centre Guelph - Long Term Care Home,info@skillbuildersrehab.com
St Joseph's Villa,info@skipthewaitingroom.com
St Joseph's Villa Dundas,info@skycarepharmacy.com
Community Outreach Clinic Program,info@skyehealth.ca
Skill Builders Physiotherapy & Rehabilitation Centre,info@sleepdisordercentre.con
Skycare Pharmacy,info@slmhc.on.ca
Emergency Department,info@smgh.ca
Emergency Department,info@smhc.net
Laboratory,info@smilecitydental.ca
Diagnostic Imaging,info@smithspharmacy.com
Cardiac Diagnostic Testing,info@snowdoncompounding.com
Waterloo Region Sexual Assault/Domestic Violence Treatment Centre,info@solecentered.ca
Guardian Pharmacy - Mount Brydges - Southwest Middlesex Health Centre,info@soleutions.ca
SmileCity Dental - Dentistry With Care,info@somrc.com
Smith's Pharmacy - Toronto - 3463 Yonge St,info@sorefoot.ca
Sole Centered Foot Care,info@soundcaremedical.com
Soleutions Chiropody and Orthotics,info@southbankmedicalcentre.com
HealthMax Physiotherapy Clinics - Oakville,info@southcoastphysiotherapy.ca
Southbank Medical Centre,info@sparktherapy.info
Spark Therapy,info@speechandco.com
Speech and Company - Georgetown - Speech and Occupational Therapy for Kids,info@speechpartners.ca
Speech and Company - Georgetown - Speech and Occupational Therapy for Kids,info@speersroadphysiotherapy.com
Speech and Company - Georgetown - Speech and Occupational Therapy for Kids,info@spinegroup.ca
Speech Partners - Vaughan,info@sportsrehabto.com
Speers Road Physiotherapy Clinic,info@sprucedale.ca
Spine Group,info@srfhosp.ca
Sprucedale Care Centre,info@stayactiverehbilitation.com
Diagnostic Imaging,info@staynerfootclinic.ca
Laboratory,info@steprightfootclinic.com
Long Term Care Unit,info@stgeorgephysio.ca
Stay Active Rehabilitation,info@stirlingmanor.com
Stayner Foot Clinic,info@stirlingphysiotherapy.ca
Step Right Foot Clinic,info@stjacques.ca
St George Physiotherapy Clinic,info@stjamescathedral.ca
St James Cathedral Drop-in - Tuesday Drop-In,info@stll.org
St James Cathedral Drop-in - Tuesday Drop-In,info@stmaryphysio.com
St James Cathedral Drop-in - Tuesday Drop-In,info@stmarysphysio.com
St James Cathedral Drop-in - Tuesday Drop-In,info@stonechurchpharmacy.com
St James Cathedral Drop-in - Tuesday Drop-In,info@stonegatechc.org
St Lawrence Lodge - Long-Term Care Home,info@striowskiphysio.com
St Mary Physiotherapy Centre - Ottawa - Trim Rd - St. Mary Physiotherapy Centre,info@strivept.ca
St Marys Physiotherapy and Rehabilitation Clinic,info@sudburyspineandsportclinic.com
Guardian Pharmacy - Hamilton - Redmond Dr (Stonechurch Compounding Pharmacy),info@summittravelhealth.com
Striowski & Associates Physiotherapy,info@sunmed.ca
Strive Physiotherapy and Performance,info@sunnycrest.ca
Sudbury Spine and Sport Clinic,info@sunrisehealthservices.ca
Summit Travel Health - Mississauga Clinic,info@surecarepharmacy.com
Summit Travel Health - Etobicoke Clinic,info@suttonapothecary.com
SunMed Walk-in Clinic and Family Practice,info@swansonot.com
Sunnycrest Nursing Home,info@swchc.on.ca
Sunrise Health Services,info@swpublichealth.ca
Sutton Apothecary,info@tannerymedical.com
Swanson & Associates - Occupational Therapy & Rehabilitation,info@taylorchiro.ca
Health and Social Services,info@telmagrant.ca
TB Testing,info@temiskaming-hospital.com
Telma Grant PT,info@thamesvalleyfht.ca
Pharmacy,info@thechemistpharmacy.com
Strathroy Family Health Organization - Strathroy Site,info@thegmc.ca
Woodstock - 959 Dundas St,info@thegoodcompanions.ca
Woodstock - 959 Dundas St,info@themamasphysio.com
Chemist Pharmacy (The),info@theocpharmacy.com
Garden Medical Centre (The),info@thephoenixnetwork.ca
Garden Medical Centre (The),info@thephysiospot.ca
Good Companions (The) - Foot Care,info@therapeuticmobility.ca
Organic Compounding Pharmacy (The),info@thevillagepharmacy.ca
Phoenix Network Inc. (The),info@thewellington.ca
The Physio Spot - Markham,info@thomasaltonmedicalclinic.ca
Therapeutic Mobility Physiotherapy Services,info@thompsonmedical.ca
Village Pharmacy (The),info@timminsfht.ca
Algonquin Blvd W,Info@tiredsole.com
Fifth Ave Site,info@tlrsportstherapy.ca
Timmins Family Health Team,info@tobiapharmacy.com
101 Mall Site,info@tonystaceycentre.ca
TiredSole Complete Medical Footcare Clinic,info@torontodiagnosticcentre.com
TLR Sports Therapy,info@torontograce.org
Salvation Army Toronto Grace Health Centre,info@torontoneckandbackpain.com
Complex Continuing Care,info@torontophysiotherapy.ca
Complex Continuing Care - Respiratory Care,info@torontovascularultrasound.com
Foot/Chirpody Clinic,info@torrancepharmacy.com
Toronto Physiotherapy - Danforth Ave,info@totalphysiotherapy.ca
Toronto Physiotherapy - Yonge Street,info@totalrehab.net
Toronto Vascular Ultrasound,info@towncentrerehab.com
Torrance Retail Pharmacy - Scarborough,info@tracgroup.ca
Towncentre Rehab Clinic - Scarborough,info@trainsmartwellness.ca
TRAC Group,info@trenthillshealth.com
Occupational Therapy,info@trentondiagnostics.com
Speech Language Pathology,info@trilliumphysio.com
TRAC Group - Sudbury,info@trustcarepharmacy.com
Trainsmart Wellness,info@trutinapharmacy.com
Trent Hills Health Centre,info@tufford.ca
Trenton Diagnostics,info@tvlodge.ca
Trillium Rehab Physiotherapy,info@ucfht.com
Stone's Mill Family Health Centre,info@ultimatediagnostics.com
Seeley's Bay Family Medicine Clinic,info@ultrasoundtoronto.ca
Home Street Family Practice,info@uniquerehab.com
Cornerstone Family Medical Centre,info@unitedcarespecialty.com
Upper Canada Family Health Team,info@univi.ca
Ultimate Diagnostics,info@uppergrandfht.org
Metro Central Ultrasound,info@uptownhealthcentre.com
United Care Specialty Pharmacy - United Care Medical Clinic,info@uptownmarkhamrehab.ca
Upper Grand Family Health Team,info@urgentcarecentre.ca
Etobicoke Urgent Care Clinic,info@uxbridgehealth.ca
Etobicoke Urgent Care Clinic,info@valencemedicalimaging.com
Etobicoke Urgent Care Clinic,info@valleyparklodge.com
Urgent Care Centre (Walmart) - Mississauga,info@vanierpharmacy.ca
Brampton West Urgent Care Clinic,info@vaughanphysiotherapy.com
Uxbridge Health Centre,info@vibrantlifechiropractic.com
Lawrence Bathurst X-Ray and Ultrasound - Valence Medical Imaging,info@villagehealth.ca
Valley Park Lodge,info@vitalim.ca
Vanier Pharmacy & Natural Health,info@vitalitypharmacy.ca
Vaughan Physiotherapy Clinic,info@vmmedicalcentre.ca
Scott Family Chiropractic,info@vomedikahealth.com
Village Health,info@walkervillechiropractic.com
Vitalim Diagnostic Imaging,info@walterspharmacy.ca
Van Mills Medical Centre,info@waterlooxray.com
Vomedika Health Clinic,info@watsonspharma.com
Walters Pharmacy - Oshawa - Wentworth St W,info@wawafamilyhealthteam.com
Walters Pharmacy - Oshawa - Simcoe St S,info@wbmedical.ca
Waterloo Nuclear and Radiography,info@wchospital.ca
General Gynecology,info@wdgpublichealth.ca
Public Health - Wellington-Dufferin-Guelph - Orangeville Office,info@webequie.ca
Public Health - Wellington-Dufferin-Guelph - Shelburne Office,info@wechc.on.ca
Wellington-Dufferin-Guelph Public Health,info@wellandphysio.com
Nursing Station,info@wellerpharmacy.com
Chiropody Services,info@wellfort.ca
Community Blood Pressure Clinic,info@wellmedica.ca
Physiotherapy Rehabilitation Centre,info@wellnessfamilycare.com
Weller Pharmacy,info@westendpharmacy.org
Health n' Smiles Dental Clinic,info@westhillphysio.com
Wellmedica Pharmacy,info@westmountfootclinic.ca
Shaughnessy Family Chiropractic,info@westoakmedical.com
West Hill Physio and Rehab,info@westphysio.com
Westmount Foot and Orthotic Clinic,info@westsidephysiotherapy.com
West Oak Medical Clinic,info@wexfordmed.com
West Oak Medical Clinic,info@wgh.on.ca
Complex Care,info@whdc.ca
Woodstock Hospital,info@whitbycardiovascular.com
Chemotherapy,info@whitesroadphysiotherapy.com
Emergency Department,info@whiwh.com
Gynecology,info@whxray.com
Wentworth-Halton X-Ray and Ultrasound - Oakville - Argus Rd,info@willowdalemed.ca
Wentworth-Halton X-Ray and Ultrasound - Hamilton - Rymal Rd W,info@winhealth.ca
Wentworth-Halton X-Ray and Ultrasound - Oakville - Old Bronte Rd,info@wmmii.ca
Wentworth-Halton X-Ray and Ultrasound - Burlington - 760 Brant St,info@wnphc.ca
Wentworth-Halton X-Ray and Ultrasound - Oakville - Speers Rd,info@wocrc.ca
Willowdale Medical Clinic,info@wsm.ca
Westminster Mobile Medical Imaging,info@wyndhampharmacy.com
J.W. MacIntosh Community Support Services - J W MacIntosh Seniors' Support Centre - Foot Care,info@xrayassociates.org
Western Ottawa Community Resource Centre - Kanata - MacNeil Crt - Services for Seniors and Adults with a Disability - Foot Care Services,info@x-rayultrasound.com
Waterloo Sports Medicine Centre - University Square Plaza,info@xus.ca
Waterloo Sports Medicine Centre - RIM Park,info@yorkdownschemists.com
Wyndham Medical Pharmacy - Guelph,info@yorkdownspharmacy.ca
X-Ray Associates - Richmond Hill - Harding Blvd,info@yorkmed.ca
Toronto East X-Ray and Ultrasound - Scarborough,info@yorkpaediatrics.com
York Medical Health Centre - Newmarket,info@youngspharmacy.com
York Medical - East Gwillimbury - Green Lane,info@yourbetterbody.ca
Physiotherapy,info@yourintegrativepharmacy.com
York Paediatric Therapy Services,info_rpt@revivephysiocare.com
Guardian Pharmacy - Georgetown - Main St S (Young's Pharmacy and Homecare),info1@mvmc.ca
Better Body Fitness Rehabilitation Wellness - Scarborough office,info2@worklinksolutions.com
Better Body Fitness Rehabilitation Wellness - Scarborough office,info4you@porcupinehu.on.ca
Trenton site,info-burlington@classiccare.ca
Maitland Valley Family Health Team,infocadh@bellnet.ca
Worklink Solutions,infocc@hhhs.ca
Growing Healthy Families,infodesk@haltonhealthcare.on.ca
Colorectal Diagnostic Assessment Program,infodurham@neurochangers.ca
Complex Transitional Care Department,infoec@svch.ca
Emergency Department,infokv@svch.ca
Laboratory Services,info-london@classiccare.ca
Diagnostic Imaging,infomustardseed@csj-to.ca
Fontbonne Place - Mustard Seed,info-ottawa@classiccare.ca
Fontbonne Place - Mustard Seed,information@belmonthouse.com
Fontbonne Place - Mustard Seed,information@chsm.net
Fontbonne Place - Mustard Seed,information@cmh.org
Centre for Health and Sports Medicine,information@evangelhall.ca
Evangel Hall Mission,information@extendpharmacy.com
Evangel Hall Mission,information@greenestone.net
Evangel Hall Mission,information@smhosp.on.ca
Extend Pharmacy,infoserv@mh.on.ca
Emergency Department,infosv@svch.ca
Long Term Care Facility,info-tours@elmgrovelivingcentre.com
Sant?? Manitouwadge Health - Hospital Services,infotv@svch.ca
Sant?? Manitouwadge Health - Hospital Services,ingersoll@acphysio.ca
Saugeen Valley Nursing Center,ingphysio@execulink.com
Sharon Village Care Homes - Tyndall Seniors Village - Long Term Care,innisfil.clinic@closingthegap.ca
Active Care Physiotherapy Ingersoll,innisfilpharmasave@gmail.com
Thames Medical Centre,innovationmedical@hotmail.com
Thames Medical Centre,inquiries@adv-care.com
Closing the Gap Healthcare - Innisfil,inquiries@auroranewmarketfht.ca
Closing the Gap Healthcare - Innisfil,inquiries@huroncounty.ca
Innisfil Pharmasave,inquiries@lanarkmentalhealth.com
Adv-Care Pharmacy,inquiries@mhc.on.ca
Physiotherapy,inquiries@sportsmedicinerehabilitation.com
Emergency Department,inquiries@victoriaparkpharmacy.com
Laboratory,inquiry@cornwallmedical.com
Oncology Program,inverarypharmasave@gmail.com
Sports Medicine Rehabilitation,irwinphysio@tcc.on.ca
Sports Medicine Rehabilitation,island.plaza.pharmacy@gmail.com
Victoria Park Pharmacy - East York - Victoria Park Ave,islingtondiscountpharmacy@gmail.com
Cornwall Medical Clinic,islingtonmedicalpharmacy@gmail.com
Irwin Physiotherapy,ivanfrankohome@one-mail.on.ca
Islington Medical Pharmacy,iwellness.ca@gmail.com
Ivan Franko Home - Long Term Care Home,jacarriere@southbridgecare.ca
Ivan Franko Home - Long Term Care Home,jacknathanhealthhamilton@gmail.com
Ivan Franko Home - Long Term Care Home,jamesfitzpatrick@torontofootcare.com
iWellness.ca - Rehab and Wellness Clinic,jamie_perlin@hotmail.com
iWellness.ca - Rehab and Wellness Clinic,jane@wefixfeet.ca
Walmart Walk-in Medical Clinic,janedrugstore@gmail.com
Loftus Foot Care Clinic,janet.weber@sobeyspharmacy.com
Jane Pharmacy,janewaypharmacy@gmail.com
Jane Pharmacy,janna.hotson@drdh.org
FreshCo Pharmacy - Scarborough - 2490 Gerrard St E,jcrehab@bellnet.ca
FreshCo Pharmacy - Scarborough - 2490 Gerrard St E,jennifer.fogal@algomamanor.com
FreshCo Pharmacy - Scarborough - 2490 Gerrard St E,jennifer.powley@siennaliving.ca
PharmaChoice - Massey (Janeway),jerry.metyas@gmail.com
Four Seasons Lodge,jgoss@extendicare.com
Jeff Charron Rehab Services,jharwood@london.ca
Algoma Manor Nursing Home - Thessalon,jhergott@caressantcare.com
Madonna Care Community,jill.ouimette@von.ca
Lakefront Medical Pharmacy,jkasner@extendicare.com
Shelburne Long Term Care,jlacroix@hearst.ca
Dearness Home,jlalonde@carefor.ca
Maples Home for Seniors,jlptsic@ntl.sympatico.ca
Blood Pressure Clinic,jmccaw@belmontltcf.ca
Extendicare - Kirkland Lake,jmetmanski_43@yahoo.com
Foyer des Pionniers Nursing Home - Hearst,joanied1@hotmail.com
Carefor Health & Community Services - Alexandria - Glengarry Outreach Seniors' Services - Foot Care,Joel.Pharmacity@gmail.com
Joanne Perron-Physiotherapy and Sport Injury Clinic - Timmins,john.gerges01@gmail.com
Belmont Long Term Care Facility - Belcrest Nursing Home,john.wissa@thpharmacy.com
Joan The Foot Nurse,johnhan@cogeco.net
SpecialtyRx Pharmacy - Nepean - Centrepoint Dr,jordanjack@hotmail.com
Total Health Pharmacy - Mississauga - Dundas St E,joyce@speakfreelytherapy.ca
Campbellville Pharmacy,jray@fourcountiesfht.ca
Pharmasave - Sault Ste Marie - Second Line W (West End),jsabourin@omniway.ca
Westend Walk in Clinic,jsauve@servcompr.com
Speak Freely Therapy Services,jsipos@jarlette.com
Four Counties Family Health Team,judesi@cyberbeach.net
Four Counties Family Health Team,Judy.Hill@pcfhc.ca
Woodland Villa,judyrmt@gmail.com
Services Communautaires de Prescott et Russell Community Services - Limoges Health Hub - Foot Care,julie.olivier@imedisystem.com
Alexander Place Long Term Care,julie@aubinpharm.com
DeSimone Foot and Ankle Centre - Sudbury,junction@medspharmacy.ca
Petawawa Centennial Family Health Centre - Family Health Team,kanata@precisepharmacy.com
Huntsville Natural Therapy Centre,kapusk@porcupinehu.on.ca
Pharmasave - Sturgeon Falls - King St (Aubin),karen.craig@pcfhc.ca
Junction Pharmacy MEDS - Toronto - 3016 Dundas St W,kate.carkner@broadviewnc.ca
Precise Pharmacy - Kanata - Hazeldean Rd,kathryn.thomson@theroyal.ca
Growing Healthy Families,kathypaynetherapy@gmail.com
Immunization and Travel,kbinette@norwestchc.org
Petawawa Centennial Family Health Centre - Well Woman's Clinic,kcotton@pecounty.on.ca
Hilltop Manor - Long Term Care,kdobbin@pulserx.ca
Walk-In Clinic,keeleingram@gmail.com
HJ McFarland Memorial Home - Long-Term Care Home,kelly@huroniaphysiotherapy.com
Pulse Rx LTC Pharmacy,kesact@yahoo.ca
Keele-Ingram Pharmacy,keswickmedical@gmail.com
Keele-Ingram Pharmacy,kevindinsmore@cogeco.net
Huronia Physiotherapy and Chiropractic - Midland - Penetanguishene Rd - Huronia Massage Therapy Clinic,khcnurse@vianet.ca
Keswick Pharmacy,khealth@sl.on.ca
Killarney Health Centre,khushi@yorkradiology.ca
Pharmacy,kickstarttherapy@gmail.com
St Lawrence College - Kingston - Campus Health Centre,kilbornpharmacy@hotmail.com
York Radiology Consultants - North York - 1333 Sheppard Ave E,kincardinetotalfootcare@yahoo.ca
York Radiology Consultants - North York - 1333 Sheppard Ave E,kingeast@lifemark.ca
Kilborn Pharmacy - Ottawa - Bank St S,kingmar@rogers.com
Baseline Pharmacy,kingsbridgepharmacy@hotmail.com
Kincardine Foot Care and Orthotics,kingsridge@ptgpharmacy.com
Lifemark Physiotherapy - King West - Oshawa,kingsridgemd@gmail.com
Lifemark Physiotherapyc King St E - Oshawa,kingston@hydrathletics.ca
King-Mar Diagnostic Centre - Scarborough,kingstonphysio@lifemark.ca
Prince Theodore Group of Pharmacies - Oakville - Kingsridge Dr,kingstpharmacist@lovelldrugs.com
Kingsridge Medical Centre,kingstreetpharmacist@gmail.com
Hydrathletics - Aquatic Therapy and Sports Training,kingswayrx@gmail.com
Lifemark,Kinmountpharmacy@gmail.com
Lifemark,kiplingpharmacy@hotmail.com
Kinmount Walk-In Medical Clinic,kis.kingston@gmail.com
Kipling Pharmacy,kitchener@activaclinics.com
Kipling Pharmacy,kitchener@bioped.com
Kipling Pharmacy,kitchener@cbi.ca
Kipling Pharmacy,kitchenervictoria@cbi.ca
Kingston Imaging Services,klhpharmacy@gmail.com
Activa Clinics - Kitchener,kmacleodbeaver@lakeridgehealth.on.ca
BioPed - Stratford,kneadingmassage2002@gmail.com
CBI Health Group - CBI Health Centre - Kitchener Benton,knighthillpharmacy@gmail.com
CBI Health Group - CBI Health Centre - Kitchener Victoria,knoxchiro@vianet.ca
KLH Pharmacy - Scarborough,kogilvie@ldhc.com
Emergency Department,konop.chemists@gmail.com
Lady Dunn Health Centre - Wawa,kortrightpharmacy@gmail.com
Lady Dunn Health Centre - Wawa,kpharmacy00@gmail.com
Pharmacy,kristenspharmacyrxhealthmed@gmail.com
Long-Term Care Facility,kristusdarzs@kdlatvianhome.com
Konop Chemists,kwwalkinclinic@gmail.com
Kortright Pharmacy,lab@lhsc.on.ca
Kristen's Pharmacy,laboratory@wpshc.com
Kristus Darzs Latvian Home,lacliepharmacyorillia@gmail.com
K-W Walk-In Clinic,lacostemedicalcentre@gmail.com
Pathology and Laboratory Medicine,lafrance.optimum@hotmail.com
Pathology and Laboratory Medicine,lakefield.physio@lifemark.ca
Laclie Guardian Pharmacy,lakeshorewestpharmacy@gmail.com
Lacoste Walk in Clinic,lakeshorewoodspharmacy@gmail.com
Optimum Potential Chiropractic and Nutrition,lakesidepharmacy@remedysrx.ca
Lakefield Physiotherapy and Foot Health Clinic,lakesidepharmacy1@yahoo.ca
Lakeshore West Pharmacy - Etobicoke - Lake Shore Blvd W,lakesuperiorphysio@shaw.ca
Lakeside Pharmacy - Sudbury,lambtonpharmacy@bellnet.ca
Lakeside Pharmacy - Sudbury,lanarkheights@srgroup.ca
Pharmasave - Etobicoke - 2438 Lake Shore Blvd W,lancaster@rideaufht.ca
Lake Superior Physiotherapy - Sault Ste Marie,landre@michipicoten.com
Steeves and Rozema Enterprises - Lanark Heights Long Term Care,lasalle@lifemark.ca
Chiropractic,lasalle@pinnaclephysiotherapy.com
LifeMark - Sudbury (Lasalle),laura.bos@von.ca
Occupational Therapy,laura@creemoremassage.com
Physiotherapy,laurentianwalkin@gmail.com
Physiotherapy,lavitapharmacy@gmail.com
Pinnacle Physiotherapy of LaSalle,lawlor@lawlortherapy.com
Blood Pressure Clinic,lawrence.medicalpharm@gmail.com
Laurentian Walk-in Clinic,lcook@rockybayfn.ca
La Vita Pharmacy,lcote@mattawahospital.ca
Immunization Clinic,ldavidson@tcmhomes.com
Laboratory,ldemaiter@chartwell.com
Diagnostic Imaging,ldimaging.clinic@gmail.com
Emergency Department,lifelinecambridge@gmail.com
Pharmacy,lift@bmwquest.com
Greenwood Court ( Long Term Care ),lighthousedrugstore@gmail.com
Chartwell Aylmer Long Term Care Residence,limeworthxray@gmail.com
Lucan Diagnostic Imaging,lina@pharmacytp.com
Lifeline Pharmacy,lindam@manotickplaceretirement.ca
Lift Physiotherapy,lindsay.clinic@closingthegap.ca
Lighthouse Pharmacy,lindsayphysiotherapy@bellnet.ca
Limeworth X-Ray and Ultrasound,lindsayrehabilitation@bellnet.ca
Central Parkway Pharmacy,line@linetroster.ca
Manotick Place Retirement Community,lisac@ccsh.ca
Physiotherapy Clinic,lisgarpharmacy@bellnet.ca
Lindsay Physiotherapy Services,lisgarwoodsrx@gmail.com
Lindsay Rehab Health Centre,livewellpharmacyniagara@gmail.com
One to One Physiotherapy and Rehabilitation Clinic,living@chestervillage.ca
Pharmasave - Mississauga - Doug Leavens Blvd,livingarts@ptgpharmacy.com
Lisgar Woods Pharmacy,liz.mikol@von.ca
LiveWell Pharmacy,lizette@torontoctc.ca
Chester Village,llajeunesse@lrsinc.ca
Prince Theodore Group of Pharmacies - Mississauga - Living Arts Dr,llucas@alcchatham.ca
Lajeunesse Rehabilitation Services - Timmins,lmcbrampton@LMC.ca
Occupational Therapy,lmcetobicoke@lmc.ca
Blood Pressure Clinics,lnorris@osgoodecare.com
Diabetic Foot Care Clinics,lockestreetmedical@gmail.com
Foot Care Clinics,londomason@hotmail.com
LMC Pharmacy - Brampton,london.wortleyrd@lifemark.ca
LMC Pharmacy - Etobicoke,london@acphysio.ca
Osgoode Care Centre,london@bioped.com
Locke Street Medical Clinic,london@nursenextdoor.com
Masonville Pharmacy,london@precisepharmacy.com
Lifemark - Wortley Village - London,London_Arva@MyHealthCentre.ca
Active Care Physiotherapy London,London_Fanshawe@MyHealthCentre.ca
BioPed - London South,London_Southdale@MyHealthCentre.ca
Nurse Next Door Home Care Services - London,London_Wharncliffe_Radiology@MyHealthCentre.ca
Precise Pharmacy - London,londonbyron@cbi.ca
MyHealth Centre - Arva - Cardiology,londoncarepharmacy@gmail.com
Gynecology,londondiabeticfootclinic@gmail.com
MyHealth Centre - London - Southdale - X-ray and Ultrasound,londoneast@bioped.com
MyHealth Centre - London - Wharncliffe - Bone Mineral Density,londoneast@cbi.ca
London Care Pharmacy,londonfamilyfootclinic@gmail.com
London Diabetes Foot Clinic,londonfanshawe@cbi.ca
BioPed - London East,londonnorth@bioped.com
CBI Health Centre - London East,londonnortheast@cbi.ca
Publicly-Funded Physiotherapy,londonwest@cbi.ca
London Family Foot Clinic,longfieldsmanor@reveraliving.com
CBI Physiotherapy and Rehabilitation Centre - London Fanshawe,lori@saultchiropody.com
BioPed - London North,lormelmedicalcentre@hotmail.com
CBI Health Centre - London Northeast (Adelaide St N),lorpharm@hotmail.com
CBI Physiotherapy and Rehabilitation Centre - London West,loynesg@mcmaster.ca
Longfields Manor,lpelissier@jarlette.com
Sault Chiropody Clinic - Sault Ste Marie,lsvpharmacy@gmail.com
Lormel Medical Centre,ltc-ba@toronto.ca
Bendale Acres - Long-Term Care Home,ltc-cfl@toronto.ca
Bendale Acres - Long-Term Care Home,ltc-cl@toronto.ca
Bendale Acres - Long-Term Care Home,ltc-cwt@toronto.ca
Bendale Acres - Long-Term Care Home,ltc-ho@toronto.ca
Seniors Services and Long-Term Care,ltc-ll@toronto.ca
Seniors Services and Long-Term Care,ltc-so@toronto.ca
Lakeshore Lodge - Long-Term Care Home,ltc-tda@toronto.ca
True Davidson Acres - Long-Term Care Home,ltc-wm@toronto.ca
True Davidson Acres - Long-Term Care Home,ltracey@marianhill.ca
Wesburn Manor,lvppharmacy@gmail.com
Wesburn Manor,m.d.g.rpn.podologue@outlook.com
Wesburn Manor,m.g.oldetownclinic@gmail.com
Wesburn Manor,m_najmudin@yahoo.com
Lawrence-Victoria Park Pharmacy - Scarborough,macassalodge@hamilton.ca
MDG RPN Podologue,mackaycentre@hurontel.on.ca
M G Olde Town Clinic,mackayislandpharmacy@hotmail.com
Foot Clinic and Orthotics Centre (The) - Beamsville,maco@ritzlutheranvilla.com
Foot Clinic and Orthotics Centre (The) - St Catharines,macsportmed@mcmaster.ca
Macassa Lodge,madocchiro@gmail.com
MacKay Centre for Seniors,magreco@omniway.ca
Guardian Pharmacy - Richards Landing (MacKay's Island),mail.fourcorners@wellfort.ca
Madoc Chiropractic,mail@1to1therapy.ca
Riverview Manor,mail@accessalliance.ca
1to1 Therapy Services - York Region,mail@badenvillagepharmacy.com
Primary Care Services,mail@bentonmedicalpharmacy.com
Non-Insured Walk-in Clinic (NIWIC),mail@bramptonclinics.com
Primary Care Services,mail@bramqueenpharmacy.com
Pharmasave - Baden Village Pharmacy,mail@cmlto.com
College of Medical Laboratory Technologists of Ontario (The),mail@connaughtpharmacy.com
College of Medical Laboratory Technologists of Ontario (The),mail@kdchc.org
College of Medical Laboratory Technologists of Ontario (The),mail@londonroadpharmacy.com
College of Medical Laboratory Technologists of Ontario (The),mail@maplehealthcare.com
Pharmasave - Brampton - Ray Lawson Blvd (Connaught Place),mail@pharmasavekensington.com
Kitchener Downtown Community Health Centre,mail@pharmasaveorangeville.com
Pharmasave - Sarnia - London Rd,mail@pharmasavestayner.com
Maple Health Care and Rehab,mail@smhc.net
Maple Health Care and Rehab,mail@tdmh.on.ca
Southwest Middlesex Health Centre,mail@townsquarepharmacy.com
Complex Continuing Care,mailbox@myprivatepharmacy.ca
Gynecology/Obstetrical Clinic,maindrugmart.richmondhill@hotmail.com
Emergency Department,mainexchangephysio@mcimed.com
Diagnostic and Treatment Services,mainexpharmacy@gmail.com
Pharmasave - Town Square Pharmacy,mainhealthpharmacy@gmail.com
My Private Pharmacy,mainstpharmacy@bellnet.ca
Main Drug Mart - Richmond Hill,mainstreetpharmacy@sympatico.ca
MCI Physiotherapy,mainwestclinic@gmail.com
Guardian Pharmacy - Thornhill - Steeles Ave W,majormacpharm@gmail.com
Main Health Pharmacy,majorspharmacy@outlook.com
Main Street Pharmacy - Thessalon,malalonde@servcompr.com
Main St West Walk-in Clinic,malton@urgentcarecentre.ca
Foot Care,management@chealthnet.ca
Cliffwood Family Practice and Walk-In,manager@imagusinc.com
Comprehensive Healthcare Network - Toronto - 3891 Don Mills Rd - Cliffwood Family Practice and Walk-in,manfht@amtelecom.net
Comprehensive Healthcare Network - Toronto - 3502 Danforth Ave - Warden Family Practice and Walk-in Clinic,manitoulincentralfht@amtelecom.net
Charlton X-Ray and Ultrasound,manitoulinguardianpharmacies@gmail.com
Ancaster X-Ray,manotick@novohealthnet.com
Walk-in Clinic,Maple@Lifemark.ca
Mindemoya Medical Pharmacy,maplegatepharmacy@gmail.com
Back on Track - Manotick - Physiotherapy and Sports Injury,maplevilla@maplevilla.ca
Back on Track - Manotick - Physiotherapy and Sports Injury,marathonorthotics@gmail.com
LifeMark Physiotherapy - Maple,marc@bastienphysio.com
LifeMark Physiotherapy - Maple,marc@healthsmartpharmacy.ca
Maplegate Pharmacy,marcospharmacy@gmail.com
Maple Villa Long Term Care Centre,marina.pharmacy@outlook.com
Marathon Chiropody and Orthotic Clinic,marina_mani@hotmail.com
Bastien Physiotherapy,marketplacemilton@gmail.com
PharmaChoice - Ottawa - Bank St,markham@cbi.ca
Guardian Pharmacy - Mississauga - Lakeshore Rd E,markham@kinatex.com
Marina Pharmacy - Nepean - Merivale Rd,markham@lifemark.ca
Marketplace Pharmacy - Milton,markham@yeehong.com
CBI Physiotherapy and Rehabilitation Centre - Markham,markham1200@gmail.com
Kinatex Sport Physio - Markham,markhamack.pharmacy@gmail.com
Lifemark Physiotherapy - Markham,markhamdiagnosticcentre@gmail.com
Lifemark Physiotherapy - Markham,markhaven@markhaven.ca
Long Term Care Home,maryann.storey@one-mail.on.ca
Ontario Diagnostic Centers (ODC) - Scarborough Markham,massageclinic@georgiancollege.ca
Guardian Pharmacy - Markham - Hwy 48 (Markhamack),math@porcupinehu.on.ca
Markhaven Home for Seniors,mathesonpharmacy@yahoo.com
Kawartha Therapy Services,matthewsgatemedicalclinic@gmail.com
Georgian College - Barrie Campus - Bldg M - Room M148 - Student Massage Therapy Clinic,maureen.kelly@oneidaltch.ca
Growing Healthy Families,maurice.fitzpatrick@sympatico.ca
Immunization and Travel,maximum@on.aibn.com
